index,review_text,asin,stars
0,This magazine was great for the times but as with all other technology magazines the new stuff isn't as good a lot of advertisments and reviews seem biased.,B00005N7P0,⭐⭐⭐
1,We ordered this magazine for our grandson (then 7 going on 30) who was/is deploy into technology. He really enjoyed every issue.,B00005N7P0,⭐⭐⭐⭐⭐
2,"I didn't receive a full year.  I only receive the magazine twice.  It's a good magazine, I just didn't receive it as promised.",B00005N7P0,⭐⭐
3,"I was hoping for more technical than what was there. it seems to be more like ""look how cool this is"" than a technical publication. It's like sport compact car, but for computers.",B00005N7P0,⭐⭐
4,I only received one copy of the mag so I couldn't really find out if it was good reading or not,B00005N7P0,⭐⭐
5,This magazine is just ok. I ended up subscribing to pc world instead. They are more for the technician and not just the cusumer.,B00005N7P0,⭐⭐⭐
6,"There articles are alright, but they screw you on the amount you get as i only got 10 of the 12 months subcription. so be carefull unless you are on the auto renew.",B00005N7P0,⭐⭐⭐
7,Excellent product! I love reading through the magazine and learning about the cool new products out there and the cool programs!,B00005N7P0,⭐⭐⭐⭐⭐
8,"I ordered this hoping to learn more about the latest gadgets, and I did learn some things but in over my head over all.  I do not enjoy this reading at all.",B00005N7P0,⭐⭐
9,Love the magazine.  The price through Amazon is well worth it for the knowledge recieved and the subscription process is painless,B00005N7P0,⭐⭐⭐⭐⭐
10,I bought this subscription for my son. He is presently building a computer. He said it has lots of good and useful information in it.,B00005N7P0,⭐⭐⭐⭐
11,"I like Maximum PC magazine, but when I received my first copy it came without the CD. I will not renew my subsciption.",B00005N7P0,⭐⭐⭐
12,First time ordering this magazine.  It was a little more upscale then I am.  It did not cover much that I am interested.,B00005N7PS,⭐⭐⭐
13,Nothing to it.  Just an advertisement.  Little article content.,B00005N7PS,⭐
14,I've only gotten one so far I don't know why,B00005N7OD,⭐
15,they changed the magazine and it's just trash. i canceled my subscription.,B00005N7OD,⭐
16,not interested.,B00005N7Q1,⭐⭐
17,"I love The Family Handyman.  If you are a do-it-yourselfer, this is the magazine for you.  The subscription price through Amazon is also very reasonable.",B00005N7Q1,⭐⭐⭐⭐⭐
18,This is a great magazine....  Subscribed for many many years.,B00005N7Q1,⭐⭐⭐⭐
19,sucks (period),B00005N7PS,⭐
20,too many ads the whole magazine is ads. I cant believe real men dress like that. I just read the product reviews then throw magazines away don't want anyone to think i like guys.,B00005N7PS,⭐⭐
21,This was bought for someone else. She enjoys the articles by and for men.,B00005N7PS,⭐⭐⭐⭐
22,"Extremely similar to GQ, same publisher. You aren't going to get anything from this magazine that you don't get from GQ. Similar to GQ, lots of ads and minimal content.",B00005N7PS,⭐⭐⭐
23,"Not nearly as good as it was in the 90's. Arena, out of Britain, still has an edgy fashion vibe and lots of current music scene articles.",B00005N7PS,⭐⭐⭐
24,"I got all of my issues on time, and I loved every one. It's so much better not to have to rush out and find the new issue.",B00005N7PS,⭐⭐⭐⭐⭐
25,Everything about the purchase made was perfect . Everything was very inspiring and lifted me. A product that must be bought!,B00005N7PS,⭐⭐⭐⭐⭐
